step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,108678.07316798487,-34612.18875304549,-34612.18875304549,68
1,0.26440677966101694,2.952542372881356,6.134184381799163,-3701.395700564311,-45394.79071467218,-45394.79071467218,65
2,0.32881355932203393,2.905084745762712,4.626168823284068,-13367.721058188616,-45446.912114261824,-45446.912114261824,65
3,0.39322033898305087,2.857627118644068,3.662294375197252,-15253.229562338702,-45446.912114261824,-45446.912114261824,65
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-15624.28456689631,-45446.912114261824,-45446.912114261824,65
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-16052.100541826627,-45446.912114261824,-45446.912114261824,65
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-16558.690883720752,-45446.912114261824,-45446.912114261824,65
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-16738.78113771721,-45446.97209108653,-45446.97209108653,66
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-16751.41422571202,-45446.912114261824,-45446.97209108653,65
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-16931.63276600971,-45446.912114261824,-45446.97209108653,65
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-16947.279280723717,-45446.97209108653,-45446.97209108653,66
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-16959.12395309807,-45446.97209108653,-45446.97209108653,66
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-16970.39512493095,-45446.97209108653,-45446.97209108653,66
13,1.0372881355932204,2.383050847457627,1.010237560475318,-16988.178071787315,-45446.912114261824,-45446.97209108653,65
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-16999.28133348331,-45446.97209108653,-45446.97209108653,66
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-17006.259231736003,-45446.97209108653,-45446.97209108653,66
16,1.230508474576271,2.240677966101695,0.8077284363938345,-17025.77026743133,-45446.97209108653,-45446.97209108653,66
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-17123.64341307636,-45446.97209108653,-45446.97209108653,66
