segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
509:0,509,backward,16.671,2.169,30.826,179,177,937
503:0,503,backward,114.682,2.456,127.402,177,182,925
239:0,239,backward,10.467,1.764,26.647,182,170,431
227:0,227,forward,69.973,2.673,81.608,170,143,408
192:0,192,forward,133.229,2.496,145.74900000000002,143,144,342
493:0,493,forward,100.687,2.396,113.707,144,23,904
34:0,34,forward,19.635,1.833,35.47,23,24,66
37:0,37,forward,96.309,2.679,107.914,24,26,72
253:0,253,forward,36.562,2.491,49.107,26,190,456
254:0,254,forward,177.491,2.391,190.536,190,191,458
255:0,255,forward,104.375,2.391,117.42,191,192,460
284:0,284,forward,20.853,1.677,37.468,192,223,518
299:0,299,forward,91.387,2.087,105.952,223,237,548
300:0,300,forward,19.552,2.271,33.197,237,238,550
301:0,301,forward,10.866,2.371,24.011,238,239,552
302:0,302,forward,5.895,1.694,22.425,239,240,554
303:0,303,forward,15.033,2.259,28.738,240,241,556
304:0,304,forward,4.215,1.522,21.605,241,242,558
305:0,305,forward,17.76,2.231,31.605000000000004,242,243,560
306:0,306,forward,71.172,1.528,88.532,243,244,562
