step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,94771.8926257764,-26663.613946361507,-26663.613946361507,55
1,0.26440677966101694,2.952542372881356,6.134184381799163,-6731.029536494398,-46907.20796060297,-46907.20796060297,49
2,0.32881355932203393,2.905084745762712,4.626168823284068,-17106.97420540988,-46906.35661470557,-46907.20796060297,47
3,0.39322033898305087,2.857627118644068,3.662294375197252,-19417.695851446315,-46906.35661470557,-46907.20796060297,47
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-20014.727404461035,-46906.35661470557,-46907.20796060297,47
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-20108.099149280446,-46906.35661470557,-46907.20796060297,47
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-20124.44428800305,-46906.35661470557,-46907.20796060297,47
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-20136.751045289562,-46906.35661470557,-46907.20796060297,47
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-20151.02008220292,-46906.35661470557,-46907.20796060297,47
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-20169.33649914717,-46907.20796060297,-46907.20796060297,49
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-20180.18874279128,-46907.20796060297,-46907.20796060297,49
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-20203.850770519577,-46907.20796060297,-46907.20796060297,49
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-20214.376126411382,-46907.20796060297,-46907.20796060297,49
13,1.0372881355932204,2.383050847457627,1.010237560475318,-20309.354060322374,-46907.20796060297,-46907.20796060297,49
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-20321.63984769867,-46907.27428135365,-46907.27428135365,50
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-20341.07446097596,-46907.27428135365,-46907.27428135365,50
16,1.230508474576271,2.240677966101695,0.8077284363938345,-20354.129408505047,-46907.27428135365,-46907.27428135365,50
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-20369.03698905507,-46907.27428135365,-46907.27428135365,50
18,1.359322033898305,2.145762711864407,0.7107608781225873,-20389.392232643193,-46907.27428135365,-46907.27428135365,50
19,1.423728813559322,2.0983050847457627,0.67032489817025,-20497.423661638593,-46907.27428135365,-46907.27428135365,50
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-20604.401341925135,-46907.27428135365,-46907.27428135365,50
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-20621.210413066936,-46907.27428135365,-46907.27428135365,50
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-20630.929684729323,-46907.27428135365,-46907.27428135365,50
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-20643.21636774631,-46907.20796060297,-46907.27428135365,49
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-20660.852777215703,-46907.27428135365,-46907.27428135365,50
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-20675.100381246422,-46907.27428135365,-46907.27428135365,50
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-20690.32836833769,-46907.27428135365,-46907.27428135365,50
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-20710.769589673382,-46907.27428135365,-46907.27428135365,50
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-20810.54072089834,-46907.27428135365,-46907.27428135365,50
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-20827.967105533273,-46907.27428135365,-46907.27428135365,50
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-20838.11698494749,-46907.27428135365,-46907.27428135365,50
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-20853.26999080358,-46907.27428135365,-46907.27428135365,50
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-20868.348040396395,-46907.27428135365,-46907.27428135365,50
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-20878.22011630683,-46907.27428135365,-46907.27428135365,50
