segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
509:0,509,backward,16.671,2.144,30.951,179,177,937
503:0,503,backward,114.682,2.481,127.277,177,182,925
239:0,239,backward,10.467,1.639,27.272,182,170,431
227:0,227,forward,69.973,2.498,82.483,170,143,408
192:0,192,forward,133.229,2.621,145.12400000000002,143,144,342
493:0,493,forward,100.687,2.571,112.832,144,23,904
34:0,34,forward,19.635,1.808,35.595,23,24,66
37:0,37,forward,96.309,2.654,108.039,24,26,72
253:0,253,forward,36.562,2.416,49.482,26,190,456
254:0,254,forward,177.491,2.466,190.161,190,191,458
255:0,255,forward,104.375,2.516,116.795,191,192,460
284:0,284,forward,20.853,1.602,37.843,192,223,518
299:0,299,forward,91.387,2.162,105.577,223,237,548
300:0,300,forward,19.552,2.246,33.322,237,238,550
301:0,301,forward,10.866,2.246,24.636,238,239,552
302:0,302,forward,5.895,1.769,22.05,239,240,554
303:0,303,forward,15.033,2.234,28.863,240,241,556
304:0,304,forward,4.215,1.497,21.73,241,242,558
305:0,305,forward,17.76,2.206,31.730000000000004,242,243,560
306:0,306,forward,71.172,1.603,88.157,243,244,562
