step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,77382.04789407503,-23859.481228666595,-23859.481228666595,37
1,0.26440677966101694,2.952542372881356,6.134184381799163,-20355.121173885094,-47544.47751681891,-47544.47751681891,42
2,0.32881355932203393,2.905084745762712,4.626168823284068,-26881.088508771372,-47544.47751681891,-47544.47751681891,42
3,0.39322033898305087,2.857627118644068,3.662294375197252,-27834.812116633813,-47544.47751681891,-47544.47751681891,42
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-28094.399125421358,-47544.47751681891,-47544.47751681891,42
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-28145.614196027524,-47544.47751681891,-47544.47751681891,42
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-28151.573223206757,-47544.47751681891,-47544.47751681891,42
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-28153.625723185694,-47544.98910594879,-47544.98910594879,43
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-28164.96866417961,-47544.98910594879,-47544.98910594879,43
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-28169.046545594316,-47544.98910594879,-47544.98910594879,43
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-28174.641516301293,-47544.98910594879,-47544.98910594879,43
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-28177.569813077338,-47544.98910594879,-47544.98910594879,43
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-28180.3299600545,-47544.98910594879,-47544.98910594879,43
13,1.0372881355932204,2.383050847457627,1.010237560475318,-28189.396901676246,-47544.47751681891,-47544.98910594879,42
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-28192.326910725154,-47544.47751681891,-47544.98910594879,42
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-28235.59382660697,-47544.98910594879,-47544.98910594879,43
16,1.230508474576271,2.240677966101695,0.8077284363938345,-28279.383775552586,-47544.98910594879,-47544.98910594879,43
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-28279.81228537822,-47543.05407083249,-47544.98910594879,42
18,1.359322033898305,2.145762711864407,0.7107608781225873,-28284.130408735098,-47544.47751681891,-47544.98910594879,42
19,1.423728813559322,2.0983050847457627,0.67032489817025,-28370.52590961651,-47544.47751681891,-47544.98910594879,42
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-28410.742286914585,-47544.47751681891,-47544.98910594879,42
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-28453.886885357795,-47544.47751681891,-47544.98910594879,42
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-28456.091041790663,-47544.98910594879,-47544.98910594879,43
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-28457.822972942715,-47544.98910594879,-47544.98910594879,43
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-28460.734029060066,-47544.98910594879,-47544.98910594879,43
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-28466.078762362155,-47544.98910594879,-47544.98910594879,43
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-28469.608504928176,-47544.98910594879,-47544.98910594879,43
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-28472.326465597027,-47544.98910594879,-47544.98910594879,43
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-28474.339786186567,-47543.05407083249,-47544.98910594879,42
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-28478.953928772306,-47544.47751681891,-47544.98910594879,42
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-28521.49537657605,-47544.98910594879,-47544.98910594879,43
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-28564.80332855271,-47544.98910594879,-47544.98910594879,43
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-28608.62692719582,-47544.98910594879,-47544.98910594879,43
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-28613.14094503152,-47544.98910594879,-47544.98910594879,43
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-28616.96809396905,-47544.98910594879,-47544.98910594879,43
35,2.454237288135593,1.3389830508474578,0.3697582006284919,-28618.674019056954,-47544.98910594879,-47544.98910594879,43
36,2.51864406779661,1.2915254237288138,0.36228844801186894,-28620.615447881166,-47544.47751681891,-47544.98910594879,42
37,2.5830508474576273,1.2440677966101696,0.3555734401923073,-28621.62107404355,-47544.98910594879,-47544.98910594879,43
38,2.6474576271186443,1.1966101694915257,0.3495720814260328,-28622.12828163904,-47544.98910594879,-47544.98910594879,43
39,2.711864406779661,1.1491525423728817,0.3442499962607039,-28623.689457356424,-47544.47751681891,-47544.98910594879,42
