step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,108425.83566387484,-25461.55398405002,-25461.55398405002,64
1,0.26440677966101694,2.952542372881356,6.134184381799163,-3520.0739166197864,-45439.128984050025,-45439.128984050025,65
2,0.32881355932203393,2.905084745762712,4.626168823284068,-13502.869256567275,-45439.128984050025,-45439.128984050025,65
3,0.39322033898305087,2.857627118644068,3.662294375197252,-15531.698777877431,-45439.128984050025,-45439.128984050025,65
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-15874.72686668777,-45439.128984050025,-45439.128984050025,65
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-16056.680098076873,-45439.18196629819,-45439.18196629819,65
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-16325.48515014671,-45439.18196629819,-45439.18196629819,65
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-16345.53462147,-45439.18196629819,-45439.18196629819,65
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-16438.066049868667,-45439.128984050025,-45439.18196629819,65
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-16464.679137690026,-45439.128984050025,-45439.18196629819,65
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-16565.126979651577,-45439.128984050025,-45439.18196629819,65
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-16579.47441019279,-45439.128984050025,-45439.18196629819,65
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-16680.487804748096,-45439.128984050025,-45439.18196629819,65
13,1.0372881355932204,2.383050847457627,1.010237560475318,-16777.701132258797,-45439.128984050025,-45439.18196629819,65
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-16796.332572732394,-45439.128984050025,-45439.18196629819,65
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-16980.215958400873,-45439.18196629819,-45439.18196629819,65
16,1.230508474576271,2.240677966101695,0.8077284363938345,-17090.951707962784,-45439.18196629819,-45439.18196629819,65
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-17107.571569349857,-45439.128984050025,-45439.18196629819,65
18,1.359322033898305,2.145762711864407,0.7107608781225873,-17216.407911939656,-45439.128984050025,-45439.18196629819,65
19,1.423728813559322,2.0983050847457627,0.67032489817025,-17284.95503106436,-45439.128984050025,-45439.18196629819,65
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-17360.467967161912,-45439.18196629819,-45439.18196629819,65
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-17466.17219231888,-45439.128984050025,-45439.18196629819,65
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-17487.8733867403,-45439.18196629819,-45439.18196629819,65
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-17517.815273232343,-45439.18196629819,-45439.18196629819,65
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-17543.85589531072,-45439.18196629819,-45439.18196629819,65
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-17572.245394933558,-45438.79667772438,-45439.18196629819,66
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-17594.970107195488,-45439.128984050025,-45439.18196629819,65
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-17618.41476267233,-45439.18196629819,-45439.18196629819,65
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-17643.20979507306,-45439.18196629819,-45439.18196629819,65
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-17661.567152390788,-45439.18196629819,-45439.18196629819,65
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-17686.671508760923,-45439.18196629819,-45439.18196629819,65
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-17701.081127404836,-45439.18196629819,-45439.18196629819,65
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-17723.381930361917,-45439.128984050025,-45439.18196629819,65
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-17756.46447456911,-45439.128984050025,-45439.18196629819,65
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-17775.825996139476,-45439.18196629819,-45439.18196629819,65
35,2.454237288135593,1.3389830508474578,0.3697582006284919,-17795.586655280917,-45439.18196629819,-45439.18196629819,65
36,2.51864406779661,1.2915254237288138,0.36228844801186894,-17818.677914737273,-45439.18196629819,-45439.18196629819,65
37,2.5830508474576273,1.2440677966101696,0.3555734401923073,-17837.41892084426,-45439.18196629819,-45439.18196629819,65
38,2.6474576271186443,1.1966101694915257,0.3495720814260328,-17855.927157759244,-45439.18196629819,-45439.18196629819,65
39,2.711864406779661,1.1491525423728817,0.3442499962607039,-17872.958876637647,-45439.18196629819,-45439.18196629819,65
40,2.776271186440678,1.1016949152542375,0.33957909898246735,-17889.445842178695,-45439.18196629819,-45439.18196629819,65
41,2.840677966101695,1.0542372881355935,0.33553730962617,-17905.662666362095,-45439.18196629819,-45439.18196629819,65
42,2.905084745762712,1.0067796610169495,0.33210841582605516,-17915.66951778896,-45439.18196629819,-45439.18196629819,65
43,2.969491525423729,0.9593220338983053,0.3292820874796708,-17929.531744666896,-45439.18196629819,-45439.18196629819,65
44,3.0338983050847457,0.9118644067796611,0.3270540603852206,-17936.438761601737,-45439.18196629819,-45439.18196629819,65
45,3.0983050847457627,0.8644067796610173,0.32542651678937634,-17944.735862838126,-45439.18196629819,-45439.18196629819,65
46,3.1627118644067798,0.8169491525423731,0.3244087067781581,-17948.871521325305,-45439.18196629819,-45439.18196629819,65
47,3.227118644067797,0.7694915254237289,0.32401787719585073,-17952.448204066714,-45439.18196629819,-45439.18196629819,65
48,3.291525423728814,0.7220338983050851,0.3242806083913215,-17956.181172733704,-45439.18196629819,-45439.18196629819,65
49,3.3559322033898304,0.6745762711864409,0.32523471043442614,-17956.518466549063,-45438.79667772438,-45439.18196629819,66
50,3.4203389830508475,0.6271186440677967,0.32693191138885197,-17956.263414627305,-45439.18196629819,-45439.18196629819,65
51,3.4847457627118645,0.579661016949153,0.3294417020198396,-17958.44610920617,-45439.18196629819,-45439.18196629819,65
52,3.5491525423728816,0.5322033898305087,0.33285692346539725,-17959.41889978368,-45439.18196629819,-45439.18196629819,65
53,3.613559322033898,0.48474576271186454,0.3373020736014899,-17960.61025432687,-45439.18196629819,-45439.18196629819,65
