step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,77051.3167579142,-23897.903443211875,-23897.903443211875,37
1,0.26440677966101694,2.952542372881356,6.134184381799163,-20384.865970110986,-47515.213787001885,-47515.213787001885,42
2,0.32881355932203393,2.905084745762712,4.626168823284068,-27086.31478857753,-47515.213787001885,-47515.213787001885,42
3,0.39322033898305087,2.857627118644068,3.662294375197252,-27769.010003828233,-47506.99478100914,-47515.213787001885,41
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-28146.73470634045,-47506.99478100914,-47515.213787001885,41
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-28151.296958433573,-47515.213787001885,-47515.213787001885,42
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-28246.66022746184,-47513.81204385177,-47515.213787001885,42
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-28418.115578520046,-47515.213787001885,-47515.213787001885,42
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-28424.81583385418,-47515.213787001885,-47515.213787001885,42
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-28431.071546658368,-47515.213787001885,-47515.213787001885,42
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-28437.033239957364,-47515.213787001885,-47515.213787001885,42
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-28438.72371745732,-47515.213787001885,-47515.213787001885,42
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-28439.908294903005,-47515.213787001885,-47515.213787001885,42
13,1.0372881355932204,2.383050847457627,1.010237560475318,-28444.642807753375,-47515.715509069676,-47515.715509069676,43
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-28446.58611498482,-47515.715509069676,-47515.715509069676,43
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-28446.377625442878,-47515.715509069676,-47515.715509069676,43
16,1.230508474576271,2.240677966101695,0.8077284363938345,-28449.5256050169,-47515.213787001885,-47515.715509069676,42
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-28450.625853047615,-47515.213787001885,-47515.715509069676,42
18,1.359322033898305,2.145762711864407,0.7107608781225873,-28456.266987701845,-47515.213787001885,-47515.715509069676,42
19,1.423728813559322,2.0983050847457627,0.67032489817025,-28539.92636342937,-47515.213787001885,-47515.715509069676,42
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-28546.483225831475,-47515.213787001885,-47515.715509069676,42
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-28550.277847921352,-47515.213787001885,-47515.715509069676,42
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-28549.694496752894,-47515.213787001885,-47515.715509069676,42
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-28549.363595885283,-47515.213787001885,-47515.715509069676,42
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-28553.078268580877,-47515.715509069676,-47515.715509069676,43
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-28552.191559579565,-47515.715509069676,-47515.715509069676,43
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-28556.207575547127,-47515.715509069676,-47515.715509069676,43
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-28554.92721861638,-47515.715509069676,-47515.715509069676,43
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-28558.743065848343,-47515.213787001885,-47515.715509069676,42
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-28563.56142208195,-47515.213787001885,-47515.715509069676,42
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-28567.060320738423,-47515.715509069676,-47515.715509069676,43
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-28610.542496414993,-47515.715509069676,-47515.715509069676,43
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-28614.523848131008,-47515.715509069676,-47515.715509069676,43
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-28618.680928161073,-47513.81204385177,-47515.715509069676,42
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-28702.34903702539,-47513.81204385177,-47515.715509069676,42
