step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,94931.1043769703,-26662.575340032887,-26662.575340032887,55
1,0.26440677966101694,2.952542372881356,6.134184381799163,-8117.510862693419,-46906.188791800014,-46906.188791800014,49
2,0.32881355932203393,2.905084745762712,4.626168823284068,-17746.184502282522,-46902.673457626996,-46906.188791800014,48
3,0.39322033898305087,2.857627118644068,3.662294375197252,-19434.504931566662,-46901.44871119906,-46906.188791800014,48
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-20058.347241005606,-46905.78054299071,-46906.188791800014,47
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-20160.168491789565,-46905.78054299071,-46906.188791800014,47
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-20257.522669298458,-46905.78054299071,-46906.188791800014,47
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-20268.250422156765,-46906.188791800014,-46906.188791800014,49
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-20289.92013790587,-46906.188791800014,-46906.188791800014,49
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-20292.459378277203,-46906.188791800014,-46906.188791800014,49
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-20312.312646206483,-46906.188791800014,-46906.188791800014,49
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-20324.417297418902,-46906.188791800014,-46906.188791800014,49
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-20334.636938939555,-46906.188791800014,-46906.188791800014,49
13,1.0372881355932204,2.383050847457627,1.010237560475318,-20352.055848907657,-46906.188791800014,-46906.188791800014,49
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-20455.874030442323,-46906.47511526816,-46906.47511526816,50
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-20467.800273984834,-46906.47511526816,-46906.47511526816,50
16,1.230508474576271,2.240677966101695,0.8077284363938345,-20480.070596110192,-46906.47511526816,-46906.47511526816,50
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-20579.093431214616,-46906.47511526816,-46906.47511526816,50
18,1.359322033898305,2.145762711864407,0.7107608781225873,-20598.814349005013,-46906.47511526816,-46906.47511526816,50
19,1.423728813559322,2.0983050847457627,0.67032489817025,-20780.554796760738,-46906.47511526816,-46906.47511526816,50
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-20801.853979653304,-46906.47511526816,-46906.47511526816,50
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-20821.10891992469,-46906.47511526816,-46906.47511526816,50
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-20840.121133147204,-46906.47511526816,-46906.47511526816,50
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-20855.442272365188,-46906.47511526816,-46906.47511526816,50
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-20871.824421881083,-46906.47511526816,-46906.47511526816,50
