mode,scenario_name,distance_label,target_distance_m,straight_line_distance_m,source_node,target_node,walkability_field,day_type,hour,seed_index,seed,steps,replicas,slices,config_file,output_dir,log_file
pure_sqa,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,0,42,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe08__seed_042.log
pure_sqa,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,1,43,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe08/seed_043,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe08__seed_043.log
pure_sqa,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,2,44,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe08/seed_044,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe08__seed_044.log
pure_sqa,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,3,45,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe08/seed_045,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe08__seed_045.log
pure_sqa,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,4,46,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe08/seed_046,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe08__seed_046.log
pure_sqa,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,0,42,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe12__seed_042.log
pure_sqa,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,1,43,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe12/seed_043,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe12__seed_043.log
pure_sqa,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,2,44,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe12/seed_044,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe12__seed_044.log
pure_sqa,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,3,45,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe12/seed_045,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe12__seed_045.log
pure_sqa,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,4,46,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe12/seed_046,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe12__seed_046.log
pure_sqa,d0400_dynwe17,d0400,400,399.89096238073773,24,318,dynwe17,weekend,17,0,42,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe17__seed_042.log
pure_sqa,d0400_dynwe17,d0400,400,399.89096238073773,24,318,dynwe17,weekend,17,1,43,200,32,20,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0400_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0400_dynwe17/seed_043,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/logs/pure_sqa/d0400_dynwe17__seed_043.log
