segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
414:0,414,backward,98.757,2.744,110.037,80,69,753
87:0,87,backward,82.145,2.744,93.425,69,68,173
88:0,88,forward,153.106,2.338,166.416,68,70,174
91:0,91,backward,20.232,1.677,36.846999999999994,70,71,181
90:0,90,backward,35.895,1.758,52.105000000000004,71,64,179
82:0,82,forward,186.942,2.604,198.922,64,65,162
191:0,191,forward,154.44,2.52,166.84,65,141,340
229:1,229,forward,89.15532276014177,2.415,102.08032276014177,141,172,414
229:0,229,forward,8.029570132309429,2.415,20.954570132309428,172,171,412
228:0,228,forward,10.355,1.819,26.26,171,143,410
192:0,192,forward,133.229,2.321,146.62400000000002,143,144,342
493:0,493,forward,100.687,2.421,113.582,144,23,904
34:0,34,forward,19.635,1.758,35.845,23,24,66
37:0,37,forward,96.309,2.404,109.289,24,26,72
253:0,253,forward,36.562,2.416,49.482,26,190,456
254:0,254,forward,177.491,2.416,190.411,190,191,458
255:0,255,forward,104.375,2.416,117.295,191,192,460
284:0,284,forward,20.853,1.702,37.343,192,223,518
299:0,299,forward,91.387,2.112,105.827,223,237,548
300:0,300,forward,19.552,2.296,33.072,237,238,550
301:0,301,forward,10.866,2.296,24.386000000000003,238,239,552
302:0,302,forward,5.895,1.619,22.8,239,240,554
303:0,303,forward,15.033,2.184,29.113,240,241,556
372:0,372,forward,19.891,1.235,38.715999999999994,241,292,670
376:0,376,forward,42.498,2.009,57.452999999999996,292,296,678
377:0,377,forward,32.424,1.847,48.189,296,297,680
