step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,99732.83269169577,-31880.230890764946,-31880.230890764946,67
1,0.26440677966101694,2.952542372881356,6.134184381799163,-6228.544893462264,-45201.8004114675,-45201.8004114675,65
2,0.32881355932203393,2.905084745762712,4.626168823284068,-15313.947137502564,-45201.8004114675,-45201.8004114675,65
3,0.39322033898305087,2.857627118644068,3.662294375197252,-16584.203952049662,-45201.8004114675,-45201.8004114675,65
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-17056.433764139547,-45201.8004114675,-45201.8004114675,65
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-17075.84586686754,-45201.8004114675,-45201.8004114675,65
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-17089.782528955104,-45201.8004114675,-45201.8004114675,65
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-17189.853242044206,-45201.8004114675,-45201.8004114675,65
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-17285.06668369317,-45201.8004114675,-45201.8004114675,65
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-17303.967254246807,-45201.8004114675,-45201.8004114675,65
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-17406.619754726205,-45201.8004114675,-45201.8004114675,65
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-17413.770781012357,-45201.8004114675,-45201.8004114675,65
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-17422.449932085143,-45201.8004114675,-45201.8004114675,65
13,1.0372881355932204,2.383050847457627,1.010237560475318,-17439.054115660125,-45201.8004114675,-45201.8004114675,65
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-17455.929614225817,-45201.8004114675,-45201.8004114675,65
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-17477.225635149276,-45201.8004114675,-45201.8004114675,65
16,1.230508474576271,2.240677966101695,0.8077284363938345,-17659.84375601225,-45201.8004114675,-45201.8004114675,65
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-17720.950429350163,-45201.8004114675,-45201.8004114675,65
18,1.359322033898305,2.145762711864407,0.7107608781225873,-17827.235910297975,-45201.8004114675,-45201.8004114675,65
19,1.423728813559322,2.0983050847457627,0.67032489817025,-17934.432873075,-45201.8004114675,-45201.8004114675,65
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-17957.953191004515,-45201.8004114675,-45201.8004114675,65
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-17976.74273950205,-45201.8004114675,-45201.8004114675,65
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-18007.157679474687,-45201.8004114675,-45201.8004114675,65
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-18039.020783041684,-45201.8004114675,-45201.8004114675,65
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-18068.289984320425,-45201.8004114675,-45201.8004114675,65
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-18091.22388180112,-45201.8004114675,-45201.8004114675,65
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-18111.9642638727,-45201.8004114675,-45201.8004114675,65
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-18228.976228420914,-45201.8004114675,-45201.8004114675,65
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-18256.072681340094,-45201.8004114675,-45201.8004114675,65
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-18279.417349460764,-45201.8004114675,-45201.8004114675,65
