step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,111382.69973732342,-45197.830589471516,-45197.830589471516,65
1,0.26440677966101694,2.952542372881356,6.134184381799163,-2341.057213252115,-45458.06772277638,-45458.06772277638,65
2,0.32881355932203393,2.905084745762712,4.626168823284068,-13496.242438122417,-45457.971945096906,-45458.06772277638,64
3,0.39322033898305087,2.857627118644068,3.662294375197252,-15219.043519321833,-45457.971945096906,-45458.06772277638,64
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-15608.622919770114,-45457.971945096906,-45458.06772277638,64
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-15909.41226670475,-45457.971945096906,-45458.06772277638,64
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-16011.155582610332,-45458.06772277638,-45458.06772277638,65
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-16194.924893769075,-45458.06772277638,-45458.06772277638,65
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-16208.901896199106,-45457.971945096906,-45458.06772277638,64
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-16345.007782046001,-45458.06772277638,-45458.06772277638,65
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-16448.056808283894,-45458.06772277638,-45458.06772277638,65
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-16472.22642176218,-45457.971945096906,-45458.06772277638,64
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-16498.125443534667,-45458.06772277638,-45458.06772277638,65
13,1.0372881355932204,2.383050847457627,1.010237560475318,-16517.125092381575,-45458.06772277638,-45458.06772277638,65
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-16662.651581956943,-45458.06772277638,-45458.06772277638,65
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-16844.67238840851,-45457.72149577805,-45458.06772277638,65
16,1.230508474576271,2.240677966101695,0.8077284363938345,-16991.305370112925,-45458.06772277638,-45458.06772277638,65
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-17001.526163408078,-45457.971945096906,-45458.06772277638,64
18,1.359322033898305,2.145762711864407,0.7107608781225873,-17023.29124050388,-45458.06772277638,-45458.06772277638,65
19,1.423728813559322,2.0983050847457627,0.67032489817025,-17127.88284997698,-45458.06772277638,-45458.06772277638,65
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-17153.45365488456,-45457.971945096906,-45458.06772277638,64
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-17183.89949862255,-45457.72149577805,-45458.06772277638,65
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-17217.54906437955,-45457.971945096906,-45458.06772277638,64
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-17253.75329895575,-45458.06772277638,-45458.06772277638,65
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-17270.067540265347,-45458.06772277638,-45458.06772277638,65
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-17307.33597410801,-45458.06772277638,-45458.06772277638,65
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-17333.537277294297,-45458.06772277638,-45458.06772277638,65
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-17356.74464499448,-45458.06772277638,-45458.06772277638,65
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-17376.327155588868,-45458.06772277638,-45458.06772277638,65
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-17394.599562545907,-45458.06772277638,-45458.06772277638,65
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-17413.90482443327,-45458.06772277638,-45458.06772277638,65
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-17435.455478811044,-45457.971945096906,-45458.06772277638,64
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-17450.058979059446,-45458.06772277638,-45458.06772277638,65
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-17470.415511336345,-45458.06772277638,-45458.06772277638,65
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-17496.63575898356,-45458.06772277638,-45458.06772277638,65
35,2.454237288135593,1.3389830508474578,0.3697582006284919,-17515.88177016723,-45458.06772277638,-45458.06772277638,65
36,2.51864406779661,1.2915254237288138,0.36228844801186894,-17541.17514455183,-45457.971945096906,-45458.06772277638,64
37,2.5830508474576273,1.2440677966101696,0.3555734401923073,-17568.05057228459,-45458.06772277638,-45458.06772277638,65
38,2.6474576271186443,1.1966101694915257,0.3495720814260328,-17589.975187693162,-45458.06772277638,-45458.06772277638,65
39,2.711864406779661,1.1491525423728817,0.3442499962607039,-17605.84610883346,-45458.06772277638,-45458.06772277638,65
40,2.776271186440678,1.1016949152542375,0.33957909898246735,-17624.159136267186,-45458.06772277638,-45458.06772277638,65
41,2.840677966101695,1.0542372881355935,0.33553730962617,-17648.50924983328,-45457.971945096906,-45458.06772277638,64
42,2.905084745762712,1.0067796610169495,0.33210841582605516,-17660.560768612057,-45457.971945096906,-45458.06772277638,64
43,2.969491525423729,0.9593220338983053,0.3292820874796708,-17674.520745806283,-45458.06772277638,-45458.06772277638,65
44,3.0338983050847457,0.9118644067796611,0.3270540603852206,-17684.559401191695,-45458.06772277638,-45458.06772277638,65
45,3.0983050847457627,0.8644067796610173,0.32542651678937634,-17693.34129009988,-45458.06772277638,-45458.06772277638,65
46,3.1627118644067798,0.8169491525423731,0.3244087067781581,-17700.763743882617,-45458.06772277638,-45458.06772277638,65
47,3.227118644067797,0.7694915254237289,0.32401787719585073,-17705.520167476232,-45458.06772277638,-45458.06772277638,65
48,3.291525423728814,0.7220338983050851,0.3242806083913215,-17712.831965955134,-45458.06772277638,-45458.06772277638,65
49,3.3559322033898304,0.6745762711864409,0.32523471043442614,-17716.837144089888,-45458.06772277638,-45458.06772277638,65
50,3.4203389830508475,0.6271186440677967,0.32693191138885197,-17721.272602364057,-45458.06772277638,-45458.06772277638,65
51,3.4847457627118645,0.579661016949153,0.3294417020198396,-17722.05698743578,-45458.06772277638,-45458.06772277638,65
52,3.5491525423728816,0.5322033898305087,0.33285692346539725,-17723.774251850075,-45458.06772277638,-45458.06772277638,65
53,3.613559322033898,0.48474576271186454,0.3373020736014899,-17723.768621009767,-45458.06772277638,-45458.06772277638,65
54,3.6779661016949152,0.4372881355932208,0.3429460204917691,-17725.213798579425,-45458.06772277638,-45458.06772277638,65
55,3.7423728813559323,0.38983050847457656,0.35002218531134643,-17724.042317931242,-45458.06772277638,-45458.06772277638,65
56,3.8067796610169493,0.34237288135593236,0.358862074002305,-17724.802633176838,-45458.06772277638,-45458.06772277638,65
57,3.8711864406779664,0.2949152542372886,0.3699542601687287,-17724.294221516328,-45458.06772277638,-45458.06772277638,65
58,3.935593220338983,0.24745762711864439,0.3840560172335896,-17724.82798507488,-45458.06772277638,-45458.06772277638,65
59,4.0,0.2,0.40242611989749455,-17723.692654765808,-45457.43416273962,-45458.06772277638,65
