id,isw,is,WIEH,wPSQ,wSE,wSW,wCRw,wEoS,wEoO,wEoP,wETV,wEuF,wSLQ,wDIS,wSLP,wSTR,wCTV,shdwd12,shdwd17,dynwd12,dynwd17,tempwd12,tempwd17,humwd12,humwd17,shdwd21,shdwd08,shdwd05,shdwe05,shdwe08,shdwe12,shdwe17,shdwe21,lgtwd05,lgtwd08,lgtwd12,lgtwd17,lgtwd21,lgtwe05,lgtwe08,lgtwe12,lgtwe17,lgtwe21,aqiwd05,aqiwd08,aqiwd12,aqiwd17,aqiwd21,aqiwe05,aqiwe08,aqiwe12,aqiwe17,aqiwe21,tempwd05,humwd05,tempwd08,humwd08,temwd12,huwd12,temwd17,huwd17,temwd21,huwd21,tempwe05,humwe05,termpwe08,humwe08,tempwe12,humwe12,tempwe17,humwe17,tempwe21,humwe21,trfwd05,trfwd08,trfwd12,trfwd17,trfwd21,trfwe05,trfwe08,trfwe12,trfwe17,trfwe21,dynwd05,dynwd08,dynwd21,dynwe08,dynwe05,dynwe12,dynwe17,dynwe21,cdynwd05,cdynwd08,cdynwd12,cdynwd17,cdynwd21,cdynwe05,cdynwe08,cdynwe12,cdynwe17,cdynwe21,cWIEH,urbantype,length,segment_id,part_idx,direction,source_node,target_node,segment_length,cost_dynwd12,cost_dynwd17,cost_dynwd05,cost_dynwd08,cost_dynwd21,cost_dynwe08,cost_dynwe05,cost_dynwe12,cost_dynwe17,cost_dynwe21,component_id
6,1.89,1.0,1.89,3,3.0,2.5,2,3,2,1.0,1,1,2,2,1,1,1,1,3,1.973,1.998,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,2,2,3,2,3,1.998,2.048,1.998,1.898,1.998,2.023,1.923,1.998,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,uncategorized,28.909,6:0,0,forward,4,1,28.909,44.044,43.919,43.919,43.669,43.919,44.419,43.919,43.794,44.294,43.919,0
6,1.89,1.0,1.89,3,3.0,2.5,2,3,2,1.0,1,1,2,2,1,1,1,1,3,1.973,1.998,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,2,2,3,2,3,1.998,2.048,1.998,1.898,1.998,2.023,1.923,1.998,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,uncategorized,28.909,6:0,0,backward,1,4,28.909,44.044,43.919,43.919,43.669,43.919,44.419,43.919,43.794,44.294,43.919,0
7,2.8,1.0,2.8,3,3.0,3.0,3,3,3,1.5,3,2,2,3,1,1,3,2,3,2.76,2.635,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.635,2.685,2.635,2.635,2.635,2.71,2.66,2.635,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,Less age-friendly,campus,133.004,7:0,0,forward,3,5,133.004,144.20399999999998,144.82899999999998,144.82899999999998,144.57899999999998,144.82899999999998,144.82899999999998,144.82899999999998,144.45399999999998,144.70399999999998,144.82899999999998,0
7,2.8,1.0,2.8,3,3.0,3.0,3,3,3,1.5,3,2,2,3,1,1,3,2,3,2.76,2.635,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.635,2.685,2.635,2.635,2.635,2.71,2.66,2.635,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,Less age-friendly,campus,133.004,7:0,0,backward,5,3,133.004,144.20399999999998,144.82899999999998,144.82899999999998,144.57899999999998,144.82899999999998,144.82899999999998,144.82899999999998,144.45399999999998,144.70399999999998,144.82899999999998,0
8,2.44,1.0,2.44,3,3.0,3.0,2,3,3,3.0,1,1,2,3,1,1,2,3,3,2.558,2.383,3.0,3.0,2.0,3.0,3,2,3,3,2,3,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.383,2.483,2.383,2.433,2.383,2.508,2.408,2.383,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,residential,115.081,8:0,0,forward,2,6,115.081,127.291,128.166,128.166,127.666,128.166,127.916,128.166,127.541,128.041,128.166,0
8,2.44,1.0,2.44,3,3.0,3.0,2,3,3,3.0,1,1,2,3,1,1,2,3,3,2.558,2.383,3.0,3.0,2.0,3.0,3,2,3,3,2,3,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.383,2.483,2.383,2.433,2.383,2.508,2.408,2.383,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,residential,115.081,8:0,0,backward,6,2,115.081,127.291,128.166,128.166,127.666,128.166,127.916,128.166,127.541,128.041,128.166,0
9,1.92,2.0,0.96,3,1.0,3.0,2,3,1,1.0,1,1,2,3,2,2,2,1,3,1.422,1.347,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,3,3,2,3,3,2,3,3,3,1.347,1.397,1.347,1.247,1.347,1.372,1.372,1.347,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,19.422,9:0,0,forward,6,7,19.422,37.312,37.687,37.687,37.437,37.687,38.187,37.687,37.562,37.562,37.687,0
9,1.92,2.0,0.96,3,1.0,3.0,2,3,1,1.0,1,1,2,3,2,2,2,1,3,1.422,1.347,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,3,3,2,3,3,2,3,3,3,1.347,1.397,1.347,1.247,1.347,1.372,1.372,1.347,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,19.422,9:0,0,backward,7,6,19.422,37.312,37.687,37.687,37.437,37.687,38.187,37.687,37.562,37.562,37.687,0
10,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,2,1,3,1.702,1.627,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,1,2,3,3,3,1.627,1.677,1.627,1.527,1.627,1.652,1.652,1.627,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,19.483,10:0,0,forward,5,7,19.483,35.973,36.348,36.348,36.098,36.348,36.848,36.348,36.223,36.223,36.348,0
10,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,2,1,3,1.702,1.627,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,1,2,3,3,3,1.627,1.677,1.627,1.527,1.627,1.652,1.652,1.627,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,19.483,10:0,0,backward,7,5,19.483,35.973,36.348,36.348,36.098,36.348,36.848,36.348,36.223,36.223,36.348,0
