node_id,x,y,degree,is_leaf,component_id
195,170029.87023,2543640.95448,2,False,0
196,170038.16876,2543640.00839,4,False,0
197,170063.6281,2543638.20787,3,False,0
198,170072.27514,2543637.19057,2,False,0
199,170154.36485,2543629.88568,2,False,0
200,170183.93583,2543627.09219,4,False,0
201,170184.83427,2543638.60476,2,False,0
202,170189.30731,2543692.55977,3,False,0
203,170214.39643,2543965.53675,4,False,0
204,170210.27685,2543922.93142,2,False,0
205,170201.85511,2543821.74999,2,False,0
206,170199.93344,2543801.50101,4,False,0
207,170199.70166,2543797.27001,3,False,0
208,170190.19138,2543701.3665,3,False,0
209,170236.31152,2543950.75349,3,False,0
210,170229.0658,2543871.21214,3,False,0
211,170224.99074,2543827.84334,2,False,0
212,170222.98646,2543806.51286,4,False,0
213,170221.94629,2543794.58488,3,False,0
214,170218.21973,2543749.78457,2,False,0
215,170217.29702,2543733.69305,2,False,0
216,170214.08186,2543706.37393,3,False,0
217,170206.28225,2543623.81673,3,False,0
218,170212.684,2543594.15679,2,False,0
219,170182.83016,2543596.25791,3,False,0
220,170087.73676,2543612.02693,2,False,0
221,170037.4504,2543616.70886,3,False,0
222,169939.1923,2543625.85721,3,False,0
223,169824.66528,2543636.60074,3,False,0
224,169803.60332,2543638.65574,3,False,0
225,169804.8448,2543662.10009,4,False,0
226,169706.34821,2544007.37863,2,False,0
227,169723.92242,2544005.61966,2,False,0
228,169734.25463,2543994.67996,3,False,0
229,169597.08662,2544021.90791,3,False,0
230,169513.83646,2544033.59289,3,False,0
231,169511.49526,2544019.8682,4,False,0
232,169500.64095,2544025.61547,3,False,0
233,169483.06679,2544027.37469,3,False,0
234,169438.2941,2544031.77733,3,False,0
235,169396.8691,2544035.88464,1,True,0
236,169814.05456,2543767.21276,3,False,0
237,169819.87006,2543829.99168,2,False,0
238,169832.95319,2543980.47738,4,False,0
239,169714.08607,2543672.78348,2,False,0
240,169694.62827,2543674.6913,3,False,0
241,169683.81859,2543675.78976,2,False,0
242,169677.96076,2543676.44548,2,False,0
243,169663.03802,2543678.25973,3,False,0
244,169658.85407,2543678.76776,2,False,0
245,169641.21119,2543680.80471,2,False,0
246,169570.64566,2543690.06282,3,False,0
247,169560.88152,2543690.94762,2,False,0
248,169482.49526,2543699.13787,3,False,0
249,169481.66673,2543674.72003,3,False,0
250,169568.977,2543665.09441,3,False,0
251,169346.38326,2543872.76486,3,False,0
252,169441.02914,2543868.84906,2,False,0
253,169483.86128,2543876.05211,4,False,0
254,169402.95222,2543882.03605,3,False,0
255,169483.38393,2543865.09253,4,False,0
256,169476.98261,2543764.24701,2,False,0
257,169470.44852,2543690.73785,2,False,0
258,169477.89571,2543778.39586,4,False,0
259,169381.97716,2543796.11632,2,False,0
260,169430.56687,2543785.94343,3,False,0
261,169424.92472,2543893.71297,3,False,0
262,169426.8837,2543913.94324,3,False,0
263,169435.54211,2544008.28934,4,False,0
264,169433.33806,2543982.34064,4,False,0
265,169431.12897,2543957.7837,4,False,0
266,169396.74222,2543960.15698,1,True,0
267,169481.14324,2544006.9526,3,False,0
268,169478.64049,2543982.6136,4,False,0
269,169475.26404,2543951.47998,3,False,0
270,169502.73878,2543935.23663,3,False,0
271,169501.58599,2543928.44353,4,False,0
272,169514.38652,2543932.14341,3,False,0
273,169498.36943,2543875.03779,4,False,0
274,169497.60259,2543862.1371,3,False,0
275,169494.51032,2543837.66105,3,False,0
276,169488.92782,2543779.7591,3,False,0
277,169832.14309,2543985.58113,2,False,0
