mode_name,warm_start_enabled,hard_overlap_mode,suite_dir,total_runs,feasible_runs,wins,ties,losses,no_route_runs,infeasible_runs,mean_duration_sec,mean_cost_gap_vs_baseline,mean_max_similarity
budget_warm_on,True,budget,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_on,30,30,0,30,0,0,0,45.39443333333334,0.0,0.06069839866059675
budget_warm_off,False,budget,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_warm_off,30,0,0,0,0,30,0,42.95703333333334,nan,0.0
budget_plus_ratio_warm_on,True,budget_plus_ratio,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_on,30,9,0,9,0,21,0,53.70503333333333,0.0,0.02374565826576275
budget_plus_ratio_warm_off,False,budget_plus_ratio,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off,30,0,0,0,0,30,0,56.017833333333336,nan,0.0
