step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,107332.64531890806,-12903.821869111041,-12903.821869111041,73
1,0.26440677966101694,2.952542372881356,6.134184381799163,-3299.2916230170713,-45425.01069460655,-45425.01069460655,65
2,0.32881355932203393,2.905084745762712,4.626168823284068,-14353.115721695813,-45425.01069460655,-45425.01069460655,65
3,0.39322033898305087,2.857627118644068,3.662294375197252,-15235.998478447584,-45425.01069460655,-45425.01069460655,65
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-15918.389703246601,-45425.01069460655,-45425.01069460655,65
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-16016.36442435731,-45425.01069460655,-45425.01069460655,65
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-16158.14597432786,-45425.01069460655,-45425.01069460655,65
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-16204.878868652337,-45425.01069460655,-45425.01069460655,65
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-16224.318856913593,-45425.01069460655,-45425.01069460655,65
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-16239.355904793209,-45425.13405244439,-45425.13405244439,65
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-16245.954360649821,-45425.01069460655,-45425.13405244439,65
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-16273.168584414783,-45425.13405244439,-45425.13405244439,65
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-16287.497459557828,-45425.13405244439,-45425.13405244439,65
13,1.0372881355932204,2.383050847457627,1.010237560475318,-16309.821905769293,-45425.13405244439,-45425.13405244439,65
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-16327.796571044315,-45425.13405244439,-45425.13405244439,65
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-16354.63213704623,-45425.13405244439,-45425.13405244439,65
16,1.230508474576271,2.240677966101695,0.8077284363938345,-16466.920288971884,-45425.13405244439,-45425.13405244439,65
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-16488.849525239933,-45425.01069460655,-45425.13405244439,65
18,1.359322033898305,2.145762711864407,0.7107608781225873,-16511.41926014045,-45424.81979933871,-45425.13405244439,66
19,1.423728813559322,2.0983050847457627,0.67032489817025,-16540.02011042001,-45425.13405244439,-45425.13405244439,65
