source_node,target_node,source_xy,target_xy,straight_line_distance_m,distance_gap_m,target_distance_m,distance_label
24,318,"(169860.09909955162, 2544071.554789246)","(169618.63476443553, 2543752.7950730636)",399.89096238073773,0.10903761926226707,400,d0400
179,246,"(170083.17094160203, 2544303.1991438135)","(169570.64566479344, 2543690.062816057)",799.1359807833297,0.8640192166702718,800,d0800
80,314,"(170278.27415765307, 2544772.2135739936)","(169647.8646954599, 2543747.821424202)",1202.828070248327,2.8280702483270943,1200,d1200
