scenario_name,distance_label,target_distance_m,straight_line_distance_m,source_node,target_node,walkability_field,day_type,hour,warm_start_enabled,hard_overlap_mode,seed_index,seed,steps,replicas,slices,duration_sec,baseline_k_paths_found,baseline_total_cost,baseline_total_length,baseline_max_similarity,baseline_within_theta,sqa_all_paths_found,sqa_total_cost,sqa_total_length,sqa_selected_edge_count,sqa_max_similarity,sqa_max_shared_weight,sqa_within_theta,sqa_within_hard_budget,sqa_within_pathwise_ratio,sqa_feasible,sqa_matches_baseline_set,sqa_total_cost_gap_vs_baseline,k_paths_requested,run_dir,log_file,primary_outcome
d0800_dynwd05,d0800,800,799.1359807833297,179,246,dynwd05,weekday,05,False,budget_plus_ratio,0,42,60,12,20,56.126,2,3098.878645587535,2428.2736455875347,0.0,True,False,,,15,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwd05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwd05__seed_042.log,no_route
d0800_dynwd08,d0800,800,799.1359807833297,179,246,dynwd08,weekday,08,False,budget_plus_ratio,0,42,60,12,20,57.911,2,3081.878645587535,2428.2736455875347,0.0,True,False,,,14,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwd08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwd08__seed_042.log,no_route
d0800_dynwd12,d0800,800,799.1359807833297,179,246,dynwd12,weekday,12,False,budget_plus_ratio,0,42,60,12,20,57.663,2,3075.253645587535,2428.2736455875347,0.0,True,False,,,24,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwd12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwd12__seed_042.log,no_route
d0800_dynwd17,d0800,800,799.1359807833297,179,246,dynwd17,weekday,17,False,budget_plus_ratio,0,42,60,12,20,57.175,2,3071.128645587535,2428.2736455875347,0.0,True,False,,,19,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwd17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwd17__seed_042.log,no_route
d0800_dynwd21,d0800,800,799.1359807833297,179,246,dynwd21,weekday,21,False,budget_plus_ratio,0,42,60,12,20,57.32,2,3098.878645587535,2428.2736455875347,0.0,True,False,,,15,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwd21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwd21__seed_042.log,no_route
d0800_dynwe05,d0800,800,799.1359807833297,179,246,dynwe05,weekend,05,False,budget_plus_ratio,0,42,60,12,20,56.524,2,3098.878645587535,2428.2736455875347,0.0,True,False,,,15,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwe05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwe05__seed_042.log,no_route
d0800_dynwe08,d0800,800,799.1359807833297,179,246,dynwe08,weekend,08,False,budget_plus_ratio,0,42,60,12,20,61.074,2,3092.6336455875353,2428.2736455875347,0.0,True,False,,,17,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwe08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwe08__seed_042.log,no_route
d0800_dynwe12,d0800,800,799.1359807833297,179,246,dynwe12,weekend,12,False,budget_plus_ratio,0,42,60,12,20,61.632,2,3082.003645587535,2428.2736455875347,0.0,True,False,,,14,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwe12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwe12__seed_042.log,no_route
d0800_dynwe17,d0800,800,799.1359807833297,179,246,dynwe17,weekend,17,False,budget_plus_ratio,0,42,60,12,20,61.32,2,3093.503645587535,2428.2736455875347,0.0,True,False,,,20,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwe17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwe17__seed_042.log,no_route
d0800_dynwe21,d0800,800,799.1359807833297,179,246,dynwe21,weekend,21,False,budget_plus_ratio,0,42,60,12,20,62.443,2,3098.878645587535,2428.2736455875347,0.0,True,False,,,15,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d0800_dynwe21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d0800_dynwe21__seed_042.log,no_route
